epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,105.588,2.88211,0.52037,0.8108,1.72729,0.0670062,0.000333271,0.000333271
2,244.113,1.76512,0.71102,0.93157,0.9668,0.0340049,0.000665276,0.000665276
3,403.762,1.31851,0.77701,0.95705,0.72503,0.00099825,0.000991983,0.000991983
4,563.251,1.10303,0.81151,0.96907,0.60623,0.000982162,0.000982162,0.000982162
5,719.487,0.96397,0.83155,0.97437,0.54188,0.000968436,0.000968436,0.000968436
6,877.557,0.873,0.84563,0.97803,0.49482,0.00095098,0.00095098,0.00095098
7,1033.83,0.80402,0.85394,0.98071,0.46799,0.000929932,0.000929932,0.000929932
8,1190.02,0.75904,0.86079,0.98174,0.44997,0.000905463,0.000905463,0.000905463
9,1345.85,0.71622,0.86478,0.98357,0.4352,0.00087777,0.00087777,0.00087777
10,1502.17,0.67866,0.8675,0.98446,0.42532,0.000847076,0.000847076,0.000847076
11,1659.13,0.64474,0.87102,0.98493,0.41786,0.000813627,0.000813627,0.000813627
12,1814.9,0.61266,0.87266,0.9855,0.41139,0.000777694,0.000777694,0.000777694
13,1972.07,0.58375,0.87431,0.98634,0.40562,0.000739565,0.000739565,0.000739565
14,2127.41,0.56407,0.87642,0.98714,0.40043,0.000699547,0.000699547,0.000699547
15,2286.27,0.5377,0.87741,0.98728,0.3954,0.000657963,0.000657963,0.000657963
16,2443.58,0.51669,0.87877,0.98733,0.3916,0.000615148,0.000615148,0.000615148
17,2600.01,0.50073,0.87942,0.98766,0.38704,0.000571445,0.000571445,0.000571445
18,2757.84,0.48074,0.8805,0.98817,0.3828,0.000527208,0.000527208,0.000527208
19,2914.44,0.46308,0.88111,0.98841,0.37831,0.000482792,0.000482792,0.000482792
20,3049.48,0.4421,0.88271,0.98836,0.37473,0.000438555,0.000438555,0.000438555
21,3149.01,0.42398,0.88398,0.98827,0.37103,0.000394852,0.000394852,0.000394852
22,3247.23,0.41211,0.88445,0.98855,0.36809,0.000352037,0.000352037,0.000352037
23,3357.26,0.39625,0.88515,0.98897,0.36506,0.000310453,0.000310453,0.000310453
24,3467.91,0.38138,0.88726,0.98897,0.36242,0.000270435,0.000270435,0.000270435
25,3579.28,0.3719,0.88806,0.9893,0.35982,0.000232306,0.000232306,0.000232306
26,3725.52,0.35788,0.88844,0.98967,0.3577,0.000196373,0.000196373,0.000196373
27,3836.5,0.34952,0.88937,0.98991,0.35582,0.000162924,0.000162924,0.000162924
28,3947.41,0.34093,0.89003,0.98996,0.35422,0.00013223,0.00013223,0.00013223
29,4058.56,0.33852,0.89064,0.99005,0.35271,0.000104537,0.000104537,0.000104537
30,4170.19,0.3258,0.89153,0.9901,0.35145,8.00678e-05,8.00678e-05,8.00678e-05
31,4281.82,0.32123,0.892,0.99019,0.35056,5.90204e-05,5.90204e-05,5.90204e-05
32,4393.72,0.31888,0.89196,0.99038,0.34973,4.15637e-05,4.15637e-05,4.15637e-05
33,4506.68,0.31269,0.89266,0.99033,0.34908,2.78384e-05,2.78384e-05,2.78384e-05
34,4617.84,0.31078,0.89289,0.99028,0.34875,1.79549e-05,1.79549e-05,1.79549e-05
35,4729.5,0.30946,0.89318,0.99038,0.34813,1.19927e-05,1.19927e-05,1.19927e-05
